2022-01-27  16:57:15; DEBUG; app start
2022-02-28  00:00:05; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-02-28.db
2022-03-01  00:00:09; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-01.db
2022-03-02  00:00:09; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-02.db
2022-03-03  00:00:06; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-03.db
2022-03-04  00:00:10; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-04.db
2022-03-05  00:00:00; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-05.db
2022-03-06  00:00:05; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-06.db
2022-03-07  00:00:05; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-07.db
2022-03-08  00:00:04; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-08.db
2022-03-09  00:00:00; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-03-09.db
2022-04-02  00:35:29; DEBUG; app start
2022-04-02  00:35:29; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-04-02  00:35:29; DEBUG; InputParam init
2022-04-02  00:35:34; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is Response address 0 is different from request address 11
2022-04-02  00:35:44; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is no such table: table01
2022-04-02  00:35:54; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is no such table: table01
2022-04-02  00:36:04; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is no such table: table01
2022-04-02  00:36:14; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is no such table: table01
2022-04-02  00:38:53; DEBUG; app start
2022-04-02  00:38:53; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-04-02  00:38:53; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-04-02.db
2022-04-02  00:38:53; DEBUG; InputParam init
2022-04-02  17:37:47; DEBUG; app start
2022-04-02  17:37:47; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-04-02  17:37:47; DEBUG; InputParam init
2022-04-03  00:00:00; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-04-03.db
2022-04-04  00:00:02; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-04-04.db
2022-04-05  00:14:19; DEBUG; app start
2022-04-05  00:14:19; DEBUG; load /home/pi/Desktop/ModbusCOM/modbusRTU_MasterDefine/Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json successfully
2022-04-05  00:14:19; DEBUG; Create new database at: /home/pi/Desktop/ModbusCOM/database/2022-04-05.db
2022-04-05  00:14:19; DEBUG; InputParam init
2022-04-05  00:14:24; ERROR; Error raised when execute Baud-9600_ByteSize-8_Parity-None_Stop-1_FuncCode-3.json. Error is Response address 255 is different from request address 11
